major,school,degree_level,academic_year,plan_status,requirement_group,course_code,course_title,course_type,credit_hours,prerequisites,source_page,source
Architectural Engineering,School of Built Environment Engineering,Technician,,current,School Requirements,50402202,Mathematics for Construction,,,Functional Math,3,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Architectural Engineering,School of Built Environment Engineering,Technician,,current,School Requirements,50402203,Science and Materials,,,Functional Physics,3,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Architectural Engineering,School of Built Environment Engineering,Technician,,current,School Requirements,50402221,Principles of Off-site Construction,,,50402121,3,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Architectural Engineering,School of Built Environment Engineering,Technician,,current,School Requirements,50402343,Civil Engineering Technology,,,50401221,3,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Architectural Engineering,School of Built Environment Engineering,Technician,,current,University Requirements,10301121,English Pre-Intermediate Intensive + Lab,,,10301120,1,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Architectural Engineering,School of Built Environment Engineering,Technician,,current,University Requirements,10301123,English Intermediate,,,10301121,1,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Architectural Engineering,School of Built Environment Engineering,Technician,,current,University Requirements,10301124,English Upper-Intermediate,,,10301122 or 10301123,1,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Architectural Engineering,School of Built Environment Engineering,Technician,,current,University Requirements,40302111,Professional Skills,,,,1,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Computer Science,School of Computing and Informatics,BSc,Current uploaded version,current,Department Requirements,0010203180,Networking,,3,Fundamentals of Computing (0040303130),2,73f333d7-5819-ed11-b847-00155d140b05_1c0069b53f02468782eb8d730f63e467.pdf
Computer Science,School of Computing and Informatics,BSc,Current uploaded version,current,Department Requirements,0010203280,Security,,3,Networking (0010203180),2,73f333d7-5819-ed11-b847-00155d140b05_1c0069b53f02468782eb8d730f63e467.pdf
Computer Science,School of Computing and Informatics,BSc,Current uploaded version,current,Department Requirements,0010203380,Computer Organization and Design,,3,Programming (0040201100) Corequisite Discrete Maths (0040303221),2,73f333d7-5819-ed11-b847-00155d140b05_1c0069b53f02468782eb8d730f63e467.pdf
Computer Science,School of Computing and Informatics,BSc,Current uploaded version,current,Department Requirements,0010204210,Data Analytics,,3,Maths for Computing (0040303121),3,73f333d7-5819-ed11-b847-00155d140b05_1c0069b53f02468782eb8d730f63e467.pdf
Computer Science,School of Computing and Informatics,BSc,Current uploaded version,current,Department Requirements,0010204250,Artificial Intelligence & Intelligent Systems,,3,Maths for Computing (0040303121),3,73f333d7-5819-ed11-b847-00155d140b05_1c0069b53f02468782eb8d730f63e467.pdf
Computer Science,School of Computing and Informatics,BSc,Current uploaded version,current,Department Requirements,0010204282,Database Design & Development,,3,Programming (0040201100),2,73f333d7-5819-ed11-b847-00155d140b05_1c0069b53f02468782eb8d730f63e467.pdf
Computer Science,School of Computing and Informatics,BSc,Current uploaded version,current,Department Requirements,0010204312,Business Intelligence,,3,Database Design & Development (0010204282),2,73f333d7-5819-ed11-b847-00155d140b05_1c0069b53f02468782eb8d730f63e467.pdf
Computer Science,School of Computing and Informatics,BSc,Current uploaded version,current,Department Requirements,0040201200,Advanced Programming,,3,Programming (0040201100),2,73f333d7-5819-ed11-b847-00155d140b05_1c0069b53f02468782eb8d730f63e467.pdf
